Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Time 5% (s)	Time 95% (s)	Call type
1	Spectrogram 1	1	216.302850974	248.473838066	416.357	1591.078	812.500	26.2720	593.750	1406.250	220.6400	246.9120	rhino
2	Spectrogram 1	1	510.590397162	543.630870391	892.193	1412.639	250.000	26.9520	1000.000	1250.000	514.6960	541.6480	noise
5	Spectrogram 1	1	962.806192195	988.963233502	535.316	1412.639	781.250	21.0560	593.750	1375.000	964.4240	985.4800	noise
6	Spectrogram 1	1	1222.818900126	1252.236514449	475.836	1070.632	562.500	25.3200	500.000	1062.500	1224.5680	1249.8880	noise
7	Spectrogram 1	1	1388.474184039	1413.544367674	505.576	1003.717	218.750	18.9360	593.750	812.500	1389.4080	1408.3440	noise
8	Spectrogram 1	1	1430.747793848	1453.934090851	438.662	899.628	343.750	19.5120	500.000	843.750	1432.4640	1451.9760	noise
9	Spectrogram 1	1	1897.335994918	1938.274300564	416.357	1486.989	843.750	35.5280	531.250	1375.000	1900.4160	1935.9440	rhino
10	Spectrogram 1	1	2357.175026987	2437.921327107	587.361	1167.286	437.500	70.3040	656.250	1093.750	2361.3840	2431.6880	long.argus
11	Spectrogram 1	1	2487.926650023	2539.981371420	624.535	1115.242	406.250	44.8320	656.250	1062.500	2491.8080	2536.6400	long.argus
12	Spectrogram 1	1	2963.255428414	3036.214014309	728.625	1271.375	343.750	63.8240	812.500	1156.250	2966.2960	3030.1200	short.argus
13	Spectrogram 1	1	3714.823533491	3799.668630571	602.230	1204.461	468.750	74.2640	656.250	1125.000	3720.6160	3794.8800	long.argus
14	Spectrogram 1	1	4674.065324842	4733.702820616	638.219	1410.019	468.750	57.0720	750.000	1218.750	4675.2800	4732.3520	short.argus
15	Spectrogram 1	1	4748.737066372	4812.473359106	697.588	1276.438	500.000	56.5280	718.750	1218.750	4752.0640	4808.5920	long.argus
16	Spectrogram 1	1	5395.021438686	5455.273754003	697.588	1484.230	593.750	57.2000	781.250	1375.000	5396.3360	5453.5360	short.argus
17	Spectrogram 1	1	6153.220667076	6275.159876647	742.115	1246.753	218.750	100.8880	812.500	1031.250	6165.1440	6266.0320	noise
18	Spectrogram 1	1	6606.381487832	6617.653179473	474.954	1380.334	718.750	9.5280	531.250	1250.000	6607.6960	6617.2240	female.gibbon
19	Spectrogram 1	1	6694.067770429	6704.109822982	489.796	1335.807	625.000	8.2480	625.000	1250.000	6694.8240	6703.0720	female.gibbon
20	Spectrogram 1	1	6761.286326058	6770.713559067	578.850	1320.965	531.250	8.1440	656.250	1187.500	6761.4400	6769.5840	
21	Spectrogram 1	1	6750.219574265	6803.298994902	489.796	1499.072	625.000	47.2400	625.000	1250.000	6751.7760	6799.0160	short.argus
23	Spectrogram 1	1	6829.736235297	6839.778287850	578.850	1410.019	625.000	7.2640	656.250	1281.250	6830.7200	6837.9840	female.gibbon
24	Spectrogram 1	1	6912.654667745	6924.541178930	564.007	1350.649	562.500	8.1440	656.250	1218.750	6914.8240	6922.9680	female.gibbon
25	Spectrogram 1	1	6994.835546800	7006.517118138	460.111	1320.965	562.500	8.3360	625.000	1187.500	6996.7280	7005.0640	female.gibbon
26	Spectrogram 1	1	7135.597824450	7147.894215332	519.481	1484.230	656.250	8.7200	625.000	1281.250	7137.6880	7146.4080	female.gibbon
